1.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
2.00,0.70,1.00
2.00,0.70,1.00
2.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
6.00,0.70,1.00
6.00,0.70,1.00
6.00,0.70,1.00
6.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
2.00,0.70,1.00
3.00,0.70,1.00
3.00,0.70,1.00
3.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
6.00,0.70,1.00
6.00,0.70,1.00
6.00,0.70,1.00
6.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
6.00,0.70,1.00
6.00,0.70,1.00
6.00,0.70,1.00
6.00,0.70,1.00
6.00,0.70,1.00
1.00,0.70,1.00
3.00,0.70,1.00
3.00,0.70,1.00
1.00,0.70,1.00
8.00,0.70,1.00
8.00,0.70,1.00
8.00,0.70,1.00
8.00,0.70,1.00
8.00,0.70,1.00
8.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
3.00,0.70,1.00
6.00,0.70,1.00
6.00,0.70,1.00
6.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
3.00,0.70,1.00
3.00,0.70,1.00
2.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
3.00,0.70,1.00
3.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
6.00,0.70,1.00
6.00,0.70,1.00
6.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
1.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
6.00,0.70,1.00
6.00,0.70,1.00
6.00,0.70,1.00
6.00,0.70,1.00
2.00,0.70,1.00
2.00,0.70,1.00
4.00,0.70,1.00
7.00,0.70,1.00
7.00,0.70,1.00
7.00,0.70,1.00
3.00,0.70,1.00
3.00,0.70,1.00
3.00,0.70,1.00
2.00,0.70,1.00
2.00,0.70,1.00
3.00,0.70,1.00
3.00,0.70,1.00
4.00,0.70,1.00
2.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
2.00,0.70,1.00
3.00,0.70,1.00
3.00,0.70,1.00
3.00,0.70,1.00
2.00,0.70,1.00
1.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
2.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
3.00,0.70,1.00
2.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
1.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
3.00,0.70,1.00
8.00,0.70,1.00
8.00,0.70,1.00
8.00,0.70,1.00
8.00,0.70,1.00
8.00,0.70,1.00
3.00,0.70,1.00
3.00,0.70,1.00
3.00,0.70,1.00
3.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
1.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
2.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
2.00,0.70,1.00
7.00,0.70,1.00
7.00,0.70,1.00
7.00,0.70,1.00
3.00,0.70,1.00
3.00,0.70,1.00
3.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
6.00,0.70,1.00
6.00,0.70,1.00
6.00,0.70,1.00
2.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
6.00,0.70,1.00
6.00,0.70,1.00
6.00,0.70,1.00
6.00,0.70,1.00
1.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
6.00,0.70,1.00
2.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
2.00,0.70,1.00
2.00,0.70,1.00
2.00,0.70,1.00
4.00,0.70,1.00
8.00,0.70,1.00
8.00,0.70,1.00
8.00,0.70,1.00
8.00,0.70,1.00
3.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
2.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
2.00,0.70,1.00
4.00,0.86,1.00
4.00,0.86,1.00
3.00,0.86,1.00
3.00,0.86,1.00
1.00,0.86,1.00
4.00,0.70,1.00
5.00,0.70,1.00
3.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
2.00,0.72,1.00
2.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
3.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
3.00,0.70,1.00
3.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
6.00,0.70,1.00
6.00,0.70,1.00
6.00,0.70,1.00
3.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
3.00,0.70,1.00
2.00,0.70,1.00
3.00,0.70,1.00
3.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
3.00,0.70,1.00
3.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
2.00,0.70,1.00
3.00,0.70,1.00
5.00,0.70,1.00
5.00,0.70,1.00
2.00,0.70,1.00
1.00,0.70,1.00
2.00,0.70,1.00
3.00,0.70,1.00
3.00,0.70,1.00
4.00,0.70,1.00
4.00,0.70,1.00
10.00,0.70,1.00
10.00,0.70,1.00
10.00,0.70,1.00
10.00,0.70,1.00
2.00,0.70,1.00
6.00,0.90,1.00
6.00,0.90,1.00
6.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
6.00,0.90,1.00
6.00,0.90,1.00
2.00,0.90,1.00
2.00,0.90,1.00
2.00,0.90,1.00
2.00,0.90,1.00
2.00,0.90,1.00
5.00,0.90,1.00
5.00,0.90,1.00
5.00,0.90,1.00
5.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
5.00,0.90,1.00
5.00,0.90,1.00
5.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
5.00,0.90,1.00
5.00,0.90,1.00
5.00,0.90,1.00
5.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
2.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
7.00,0.90,1.00
7.00,0.90,1.00
7.00,0.90,1.00
7.00,0.90,1.00
5.00,0.90,1.00
5.00,0.90,1.00
5.00,0.90,1.00
5.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
5.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
5.00,0.90,1.00
5.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
2.00,0.90,1.00
2.00,0.90,1.00
5.00,0.90,1.00
5.00,0.90,1.00
1.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
5.00,0.90,1.00
5.00,0.90,1.00
5.00,0.90,1.00
5.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
2.00,0.90,1.00
2.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
1.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
5.00,0.90,1.00
5.00,0.90,1.00
5.00,0.90,1.00
8.00,0.90,1.00
8.00,0.90,1.00
8.00,0.90,1.00
8.00,0.90,1.00
8.00,0.90,1.00
8.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
5.00,0.90,1.00
5.00,0.90,1.00
5.00,0.90,1.00
5.00,0.90,1.00
5.00,0.90,1.00
5.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
5.00,0.90,1.00
5.00,0.90,1.00
5.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
6.00,0.90,1.00
6.00,0.90,1.00
6.00,0.90,1.00
6.00,0.90,1.00
9.00,0.90,1.00
9.00,0.90,1.00
9.00,0.90,1.00
9.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
5.00,0.90,1.00
5.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
2.00,0.90,1.00
2.00,0.90,1.00
5.00,0.90,1.00
5.00,0.90,1.00
5.00,0.90,1.00
5.00,0.90,1.00
2.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
1.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
2.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
4.00,0.90,1.00
2.00,0.90,1.00
2.00,0.90,1.00
2.00,0.90,1.00
3.00,0.90,1.00
3.00,0.90,1.00
1.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
1.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
3.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
2.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
7.00,1.00,1.00
7.00,1.00,1.00
7.00,1.00,1.00
7.00,1.00,1.00
7.00,1.00,1.00
7.00,1.00,1.00
7.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
1.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
2.00,1.00,1.00
1.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
1.00,1.00,1.00
7.00,1.00,1.00
7.00,1.00,1.00
7.00,1.00,1.00
7.00,1.00,1.00
1.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
1.00,1.00,1.00
2.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
1.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
7.00,1.00,1.00
7.00,1.00,1.00
7.00,1.00,1.00
7.00,1.00,1.00
7.00,1.00,1.00
7.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
1.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
9.00,1.00,1.00
9.00,1.00,1.00
9.00,1.00,1.00
9.00,1.00,1.00
9.00,1.00,1.00
9.00,1.00,1.00
1.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
1.00,1.00,1.00
3.00,1.00,1.00
2.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
2.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
1.00,1.00,1.00
1.00,1.00,1.00
1.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
2.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
1.00,1.00,1.00
2.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
3.00,1.00,1.00
1.00,1.00,1.00
8.00,1.00,1.00
8.00,1.00,1.00
8.00,1.00,1.00
8.00,1.00,1.00
8.00,1.00,1.00
8.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
1.00,1.00,1.00
2.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
7.00,1.00,1.00
7.00,1.00,1.00
2.00,1.00,1.00
3.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
1.00,1.00,1.00
1.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
1.00,1.00,1.00
4.00,1.00,1.00
2.00,1.00,1.00
1.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
2.00,1.00,1.00
1.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
2.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
1.00,1.00,1.00
2.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
8.00,1.00,1.00
8.00,1.00,1.00
8.00,1.00,1.00
8.00,1.00,1.00
8.00,1.00,1.00
8.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
6.00,1.00,1.00
1.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
1.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
7.00,1.00,1.00
7.00,1.00,1.00
7.00,1.00,1.00
7.00,1.00,1.00
7.00,1.00,1.00
7.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
2.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
1.00,1.00,1.00
2.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
2.00,1.00,1.00
1.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
8.00,1.00,1.00
8.00,1.00,1.00
8.00,1.00,1.00
8.00,1.00,1.00
8.00,1.00,1.00
8.00,1.00,1.00
8.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
1.00,1.00,1.00
1.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
4.00,1.00,1.00
2.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
3.00,1.00,1.00
3.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
1.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
2.00,1.00,1.00
2.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
5.00,1.00,1.00
3.00,1.00,1.00
4.00,1.00,1.00
4.00,1.00,1.00
3.00,1.00,1.00
